[2026-03-20 16:38:24] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:38:34] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:53:56] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:56:51] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:57:16] INFO     quant.cache — 캐시 전체 삭제: 0개 파일
[2026-03-20 16:57:26] WARNING  quant.data — 현대로템: yfinance 데이터 없음
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 디바이스: cuda
[2026-03-20 16:57:46] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 시작: 005930.KS — 99개 ROI 샘플
[2026-03-20 16:58:20] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:58:20] INFO     quant.trainer — 학습 시작: 035420.KS — 99개 ROI 샘플
[2026-03-20 16:58:20] INFO     quant.trainer —   이미지 shape: (99, 1, 64, 64)
[2026-03-20 16:58:20] INFO     quant.trainer —   TS 피처 shape: (99, 32)
[2026-03-20 16:58:20] INFO     quant.trainer — Epoch   1/100 | Train: 0.289405 | Val: -0.570703 | 경과: 0s
[2026-03-20 16:58:21] INFO     quant.trainer — Epoch   2/100 | Train: -0.366644 | Val: -0.591212 | 경과: 0s
[2026-03-20 16:58:21] INFO     quant.trainer — Epoch   3/100 | Train: -0.572705 | Val: -0.691686 | 경과: 1s
[2026-03-20 16:58:22] INFO     quant.trainer — Epoch   4/100 | Train: -0.619690 | Val: -0.902863 | 경과: 1s
[2026-03-20 16:58:22] INFO     quant.trainer — Epoch   5/100 | Train: -0.879372 | Val: -1.019986 | 경과: 2s
[2026-03-20 16:58:23] INFO     quant.trainer — Epoch   6/100 | Train: -0.948769 | Val: -1.031341 | 경과: 2s
[2026-03-20 16:58:23] INFO     quant.trainer — Epoch   7/100 | Train: -1.033132 | Val: -1.343144 | 경과: 3s
[2026-03-20 16:58:24] INFO     quant.trainer — Epoch   8/100 | Train: -1.045828 | Val: -1.402448 | 경과: 3s
[2026-03-20 16:58:24] INFO     quant.trainer — Epoch   9/100 | Train: -1.202479 | Val: -1.373771 | 경과: 4s
[2026-03-20 16:58:24] INFO     quant.trainer — Epoch  10/100 | Train: -1.189916 | Val: -1.552251 | 경과: 4s
[2026-03-20 16:58:25] INFO     quant.trainer — Epoch  11/100 | Train: -1.307474 | Val: -1.661921 | 경과: 5s
[2026-03-20 16:58:27] INFO     quant.trainer — Epoch  12/100 | Train: -1.276736 | Val: -1.793139 | 경과: 6s
[2026-03-20 16:58:27] INFO     quant.trainer — Epoch  13/100 | Train: -1.240119 | Val: -1.816416 | 경과: 7s
[2026-03-20 16:58:27] INFO     quant.trainer — Epoch  14/100 | Train: -1.215796 | Val: -1.773447 | 경과: 7s
[2026-03-20 16:58:27] INFO     quant.trainer — Epoch  15/100 | Train: -1.330740 | Val: -1.884461 | 경과: 7s
[2026-03-20 16:58:29] INFO     quant.trainer — Epoch  16/100 | Train: -1.361907 | Val: -1.876596 | 경과: 8s
[2026-03-20 16:58:29] INFO     quant.trainer — Epoch  17/100 | Train: -1.497175 | Val: -1.925101 | 경과: 8s
[2026-03-20 16:58:29] INFO     quant.trainer — Epoch  18/100 | Train: -1.394017 | Val: -1.899930 | 경과: 9s
[2026-03-20 16:58:29] INFO     quant.trainer — Epoch  19/100 | Train: -1.376125 | Val: -1.697369 | 경과: 9s
[2026-03-20 16:58:29] INFO     quant.trainer — Epoch  20/100 | Train: -1.344707 | Val: -1.858759 | 경과: 9s
[2026-03-20 16:58:29] INFO     quant.trainer — Epoch  21/100 | Train: -1.397301 | Val: -1.934056 | 경과: 9s
[2026-03-20 16:58:30] INFO     quant.trainer — Epoch  22/100 | Train: -1.495197 | Val: -1.864552 | 경과: 9s
[2026-03-20 16:58:30] INFO     quant.trainer — Epoch  23/100 | Train: -1.537658 | Val: -1.850068 | 경과: 10s
[2026-03-20 16:58:30] INFO     quant.trainer — Epoch  24/100 | Train: -1.501407 | Val: -1.924008 | 경과: 10s
[2026-03-20 16:58:30] INFO     quant.trainer — Epoch  25/100 | Train: -1.614268 | Val: -1.958623 | 경과: 10s
[2026-03-20 16:58:31] INFO     quant.trainer — Epoch  26/100 | Train: -1.679518 | Val: -1.927477 | 경과: 11s
[2026-03-20 16:58:31] INFO     quant.trainer — Epoch  27/100 | Train: -1.577453 | Val: -1.986937 | 경과: 11s
[2026-03-20 16:58:32] INFO     quant.trainer — Epoch  28/100 | Train: -1.700029 | Val: -2.081985 | 경과: 12s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  29/100 | Train: -1.648816 | Val: -2.029203 | 경과: 12s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  30/100 | Train: -1.718936 | Val: -2.049100 | 경과: 12s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  31/100 | Train: -1.693566 | Val: -2.031865 | 경과: 13s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  32/100 | Train: -1.498163 | Val: -2.055022 | 경과: 13s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  33/100 | Train: -1.637438 | Val: -1.992310 | 경과: 13s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  34/100 | Train: -1.787915 | Val: -1.998232 | 경과: 13s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  35/100 | Train: -1.613409 | Val: -2.040717 | 경과: 13s
[2026-03-20 16:58:33] INFO     quant.trainer — Epoch  36/100 | Train: -1.492926 | Val: -2.026363 | 경과: 13s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  37/100 | Train: -1.712089 | Val: -1.979049 | 경과: 13s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  38/100 | Train: -1.815388 | Val: -1.997852 | 경과: 13s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  39/100 | Train: -1.782823 | Val: -2.070170 | 경과: 13s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  40/100 | Train: -1.824367 | Val: -2.081866 | 경과: 14s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  41/100 | Train: -1.818422 | Val: -1.959302 | 경과: 14s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  42/100 | Train: -1.773118 | Val: -1.905806 | 경과: 14s
[2026-03-20 16:58:34] INFO     quant.trainer — Epoch  43/100 | Train: -1.854927 | Val: -1.892876 | 경과: 14s
[2026-03-20 16:58:34] INFO     quant.trainer — Early stopping (epoch 43, 최고: epoch 28)
[2026-03-20 16:58:35] INFO     quant.store — [모델 저장] 035420.KS: F:\dev\ai_dev\ai_dev_xia\quant_trading_system\outputs/models\035420_KS\model_latest_20260320_165834.pt
[2026-03-20 16:58:35] INFO     quant.trainer — 학습 완료: 최고 val_loss=-2.081985 (epoch 28)
[2026-03-20 16:58:46] INFO     quant.data — [데이터] 005930.KS: 1211행 로드 완료
[2026-03-20 16:58:46] INFO     quant.store — [모델 로드] 005930.KS → F:\dev\ai_dev\ai_dev_xia\quant_trading_system\outputs/models\005930_KS\latest.pt
[2026-03-20 16:58:46] INFO     quant.store —   타임스탬프: 20260320_165805
[2026-03-20 16:58:46] INFO     quant.store —   best_val_loss: -2.5096
[2026-03-20 16:58:46] INFO     quant.store —   best_epoch: 51.0000
[2026-03-20 16:58:46] INFO     quant.store —   total_epochs: 66.0000
[2026-03-20 16:58:46] INFO     quant.store —   train_time_s: 16.7665
[2026-03-20 16:58:46] INFO     quant.trainer — 학습 디바이스: cpu
[2026-03-20 16:58:46] INFO     quant.portfolio — 포트폴리오 구성: 1개 종목, 최대비중=100.00%
[2026-03-20 16:58:46] INFO     quant.store — [모델 로드] 005930.KS → F:\dev\ai_dev\ai_dev_xia\quant_trading_system\outputs/models\005930_KS\latest.pt
[2026-03-20 16:58:46] INFO     quant.store —   타임스탬프: 20260320_165805
[2026-03-20 16:58:46] INFO     quant.store —   best_val_loss: -2.5096
[2026-03-20 16:58:46] INFO     quant.store —   best_epoch: 51.0000
[2026-03-20 16:58:46] INFO     quant.store —   total_epochs: 66.0000
[2026-03-20 16:58:46] INFO     quant.store —   train_time_s: 16.7665
[2026-03-20 16:58:46] INFO     quant.trainer — 학습 디바이스: cpu
[2026-03-20 16:58:46] INFO     quant.portfolio — 포트폴리오 구성: 1개 종목, 최대비중=100.00%
[2026-03-20 16:58:47] INFO     quant.store — [모델 로드] 005930.KS → F:\dev\ai_dev\ai_dev_xia\quant_trading_system\outputs/models\005930_KS\latest.pt
[2026-03-20 16:58:47] INFO     quant.store —   타임스탬프: 20260320_165805
[2026-03-20 16:58:47] INFO     quant.store —   best_val_loss: -2.5096
[2026-03-20 16:58:47] INFO     quant.store —   best_epoch: 51.0000
[2026-03-20 16:58:47] INFO     quant.store —   total_epochs: 66.0000
